"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Biobank LogicalModel FHIR Mapping"
"Biobank.Bioprobe.Container.extension","Biobank.Bioprobe.Container.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Biobank.Bioprobe.Container.modifierExtension","Biobank.Bioprobe.Container.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Biobank.Bioprobe.Container.Containertyp","Biobank.Bioprobe.Container.Containertyp","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Typ des Containers","Typ des Containers","","","","","","","","","",,,,,"",,,,"Biobank.Bioprobe.Container.Containertyp",0,1,"","","Specimen.container.type"
"Biobank.Bioprobe.Container.Kapazitaet","Biobank.Bioprobe.Container.Kapazitaet","","","",0,1,"","","","Quantity {[]} {[]}
","Kapazität des Probencontainers","Kapazität des Probencontainers","","","","","","","","","",,,,,"",,,,"Biobank.Bioprobe.Container.Kapazitaet",0,1,"","","Specimen.container.capacity"
"Biobank.Bioprobe.Container.VerwendungAdditiv","Biobank.Bioprobe.Container.VerwendungAdditiv","","","",0,1,"","","","boolean {[]} {[]}
","Ja/Nein Angabe, ob ein Zusatzstoff verwendet wurde","Ja/Nein Angabe, ob ein Zusatzstoff verwendet wurde","","","","","","","","","",,,,,"",,,,"Biobank.Bioprobe.Container.VerwendungAdditiv",0,1,"","","Specimen.container.additive"
"Biobank.Bioprobe.Container.Additiv","Biobank.Bioprobe.Container.Additiv","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Zusatzstoffe im Container","Zusatzstoffe im Container","","","","","","","","","",,,,,"",,,,"Biobank.Bioprobe.Container.Additiv",0,*,"","","Specimen.container.additive"
"Biobank.Bioprobe.Probenentnahme","Biobank.Bioprobe.Probenentnahme","","","",0,1,"","","","BackboneElement {[]} {[]}
","Informationen zur Entnahme der Probe","Informationen zur Entnahme der Probe","","","","","","","","","",,,,,"",,,,"Biobank.Bioprobe.Probenentnahme",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Specimen.collection"
"Biobank.Bioprobe.Probenentnahme.id","Biobank.Bioprobe.Probenentnahme.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Biobank.Bioprobe.Probenentnahme.extension","Biobank.Bioprobe.Probenentnahme.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Biobank.Bioprobe.Probenentnahme.modifierExtension","Biobank.Bioprobe.Probenentnahme.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Biobank.Bioprobe.Probenentnahme.Entnahme-ID","Biobank.Bioprobe.Probenentnahme.Entnahme-ID","","","",0,1,"","","","Identifier {[]} {[]}
","Entnahme-ID","Entnahme-ID","","","","","","","","","",,,,,"",,,,"Biobank.Bioprobe.Probenentnahme.Entnahme-ID",0,1,"","","Specimen.collection.request"
"Biobank.Bioprobe.Probenentnahme.EinstellungBlutversorgung","Biobank.Bioprobe.Probenentnahme.EinstellungBlutversorgung","","","",0,1,"","","","dateTime {[]} {[]}
","Zeitpunkt der Einstellung der Blutversorgung zur Probe. Kann zur Berechnung der warmen Ischaemiezeit verwendet werden.","Zeitpunkt der Einstellung der Blutversorgung zur Probe. Kann zur Berechnung der warmen Ischaemiezeit verwendet werden.","","","","","","","","","",,,,,"",,,,"Biobank.Bioprobe.Probenentnahme.EinstellungBlutversorgung",0,1,"","","Specimen.collection.extension[einstellungBlutversorgung]"
"Biobank.Bioprobe.Probenentnahme.Entnahmezeitpunkt","Biobank.Bioprobe.Probenentnahme.Entnahmezeitpunkt","","","",0,1,"","","","dateTime {[]} {[]}
","Zeitpunkt der Ent- / Abnahme der Probe. Kann zur Berechnung der kalten Ischaemiezeit verwendet werden.","Zeitpunkt der Ent- / Abnahme der Probe. Kann zur Berechnung der kalten Ischaemiezeit verwendet werden.","","","","","","","","","",,,,,"",,,,"Biobank.Bioprobe.Probenentnahme.Entnahmezeitpunkt",0,1,"","","Specimen.collection.collected[x]"
"Biobank.Bioprobe.Probenentnahme.Entnahmestelle","Biobank.Bioprobe.Probenentnahme.Entnahmestelle","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Lokalisation der Körperstelle, von der die Probe stammt","Lokalisation der Körperstelle, von der die Probe stammt","","","","","","","","","",,,,,"",,,,"Biobank.Bioprobe.Probenentnahme.Entnahmestelle",0,1,"","","Specimen.collection.bodySite"
"Biobank.Bioprobe.Probenentnahme.Nuechternstatus","Biobank.Bioprobe.Probenentnahme.Nuechternstatus","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Nüchterstatus des:der Patent:in zum Zeitpunkt der Entnahme der Probe. Muss aus dem http://terminology.hl7.org/ValueSet/v2-0916 stammen.","Nüchterstatus des:der Patent:in zum Zeitpunkt der Entnahme der Probe. Muss aus dem http://terminology.hl7.org/ValueSet/v2-0916 stammen.","","","","","","","","","",,,,,"",,,,"Biobank.Bioprobe.Probenentnahme.Nuechternstatus",0,1,"","","Specimen.collection.fastingStatusCodeableConcept"
"Biobank.Bioprobe.Probenentnahme.NuechternstatusDauer","Biobank.Bioprobe.Probenentnahme.NuechternstatusDauer","","","",0,1,"","","","Quantity {[]} {[]}
","Zeitliche Dauer der Nüchternheit vor der Probenentnahme","Zeitliche Dauer der Nüchternheit vor der Probenentnahme","","","","","","","","","",,,,,"",,,,"Biobank.Bioprobe.Probenentnahme.NuechternstatusDauer",0,1,"","","Specimen.collection.fastingStatusDuration"
"Biobank.Bioprobe.Verarbeitungsprozess","Biobank.Bioprobe.Verarbeitungsprozess","","","",0,1,"","","","BackboneElement {[]} {[]}
","Prozedur der Probenbearbeitung","Prozedur der Probenbearbeitung","","","","","","","","","",,,,,"",,,,"Biobank.Bioprobe.Verarbeitungsprozess",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Specimen.processing"
"Biobank.Bioprobe.Verarbeitungsprozess.id","Biobank.Bioprobe.Verarbeitungsprozess.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Biobank.Bioprobe.Verarbeitungsprozess.extension","Biobank.Bioprobe.Verarbeitungsprozess.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Biobank.Bioprobe.Verarbeitungsprozess.modifierExtension","Biobank.Bioprobe.Verarbeitungsprozess.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Biobank.Bioprobe.Verarbeitungsprozess.Startzeitpunkt","Biobank.Bioprobe.Verarbeitungsprozess.Startzeitpunkt","","","",0,1,"","","","dateTime {[]} {[]}
","Zeitpunkt des Beginns der Probenbearbeitung","Zeitpunkt des Beginns der Probenbearbeitung","","","","","","","","","",,,,,"",,,,"Biobank.Bioprobe.Verarbeitungsprozess.Startzeitpunkt",0,1,"","","Specimen.processing.timePeriod.start"
"Biobank.Bioprobe.Verarbeitungsprozess.Endzeitpunkt","Biobank.Bioprobe.Verarbeitungsprozess.Endzeitpunkt","","","",0,1,"","","","dateTime {[]} {[]}
","Zeitpunkt des Abschlusses der Probenbearbeitung","Zeitpunkt des Abschlusses der Probenbearbeitung","","","","","","","","","",,,,,"",,,,"Biobank.Bioprobe.Verarbeitungsprozess.Endzeitpunkt",0,1,"","","Specimen.processing.timePeriod.end"
"Biobank.Bioprobe.Verarbeitungsprozess.Verarbeitungstyp","Biobank.Bioprobe.Verarbeitungsprozess.Verarbeitungstyp","","","",0,1,"","","","BackboneElement {[]} {[]}
","Prozedur der Probenbearbeitung","Prozedur der Probenbearbeitung","","","","","","","","","",,,,,"",,,,"Biobank.Bioprobe.Verarbeitungsprozess.Verarbeitungstyp",0,1,"","","Specimen.processing.procedure"
"Biobank.Bioprobe.Verarbeitungsprozess.Temperatur","Biobank.Bioprobe.Verarbeitungsprozess.Temperatur","","","",0,1,"","","","Range {[]} {[]}
","Temperatur bei der die Probenverarbeitung stattfand. Angabe exakt oder in Wertebereichen (siehe SPREC)","Temperatur bei der die Probenverarbeitung stattfand. Angabe exakt oder in Wertebereichen (siehe SPREC)","","","","","","","","","",,,,,"",,,,"Biobank.Bioprobe.Verarbeitungsprozess.Temperatur",0,1,"","","Specimen.processing.extension[temperaturbedingungen]"
"Biobank.Bioprobe.Verarbeitungsprozess.Modus","Biobank.Bioprobe.Verarbeitungsprozess.Modus","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Abhängig vom Verarbeitungstyp - bei Zentrifugation SPREC","Abhängig vom Verarbeitungstyp - bei Zentrifugation SPREC","","","","","","","","","",,,,,"",,,,"Biobank.Bioprobe.Verarbeitungsprozess.Modus",0,1,"","","Specimen.processing.procedure"
"Biobank.Bioprobe.Verarbeitungsprozess.VerwendungAdditive","Biobank.Bioprobe.Verarbeitungsprozess.VerwendungAdditive","","","",0,1,"","","","boolean {[]} {[]}
","Ja/Nein Angabe, ob ein Zusatzstoff verwendet wurde","Ja/Nein Angabe, ob ein Zusatzstoff verwendet wurde","","","","","","","","","",,,,,"",,,,"Biobank.Bioprobe.Verarbeitungsprozess.VerwendungAdditive",0,1,"","","Specimen.processing.additive"
"Biobank.Bioprobe.Verarbeitungsprozess.Additiv","Biobank.Bioprobe.Verarbeitungsprozess.Additiv","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Additive bei der Probenbearbeitung wie Fixationsmittel; Einbettungs- und Eindeckungsmedien","Additive bei der Probenbearbeitung wie Fixationsmittel; Einbettungs- und Eindeckungsmedien","","","","","","","","","",,,,,"",,,,"Biobank.Bioprobe.Verarbeitungsprozess.Additiv",0,*,"","","Specimen.processing.additive"
"Biobank.Bioprobe.Lagerprozess","Biobank.Bioprobe.Lagerprozess","","","",0,1,"","","","BackboneElement {[]} {[]}
","Lagerung einer Probe","Lagerung einer Probe","","","","","","","","","",,,,,"",,,,"Biobank.Bioprobe.Lagerprozess",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Specimen.processing[lagerprozess]"
"Biobank.Bioprobe.Lagerprozess.id","Biobank.Bioprobe.Lagerprozess.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Biobank.Bioprobe.Lagerprozess.extension","Biobank.Bioprobe.Lagerprozess.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Biobank.Bioprobe.Lagerprozess.modifierExtension","Biobank.Bioprobe.Lagerprozess.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Biobank.Bioprobe.Lagerprozess.Einlagerungszeitpunkt","Biobank.Bioprobe.Lagerprozess.Einlagerungszeitpunkt","","","",0,1,"","","","dateTime {[]} {[]}
","Zeitpunkt des Beginns der Einlagerung der Probe","Zeitpunkt des Beginns der Einlagerung der Probe","","","","","","","","","",,,,,"",,,,"Biobank.Bioprobe.Lagerprozess.Einlagerungszeitpunkt",0,1,"","","Specimen.processing[lagerprozess].timePeriod.start"
"Biobank.Bioprobe.Lagerprozess.Auslagerungspunkt","Biobank.Bioprobe.Lagerprozess.Auslagerungspunkt","","","",0,1,"","","","dateTime {[]} {[]}
","Zeitpunkt des Endes der Einlagerung der Probe","Zeitpunkt des Endes der Einlagerung der Probe","","","","","","","","","",,,,,"",,,,"Biobank.Bioprobe.Lagerprozess.Auslagerungspunkt",0,1,"","","Specimen.processing[lagerprozess].timePeriod.end"
